---TICK-TAG---
*START MEMORY*
UVs: 47, TOs: 0/0, ErrorsOrGF: 0, TTFF: 110
Fixes: 7075, Avg. TTF: 7 s, Avg. HDOP (x10): 14

count,timestamp,lat,lon
325,1646817419,47.74896,8.99420
326,1646817420,47.74897,8.99419
327,1646817421,47.74898,8.99419
328,1646817422,47.74899,8.99418
329,1646817423,47.74900,8.99417
330,1646817424,47.74901,8.99417
331,1646817444,47.74919,8.99401
332,1646817445,47.74920,8.99402
333,1646817446,47.74921,8.99402
334,1646817447,47.74923,8.99402
335,1646817448,47.74924,8.99401
336,1646817449,47.74925,8.99401
337,1646817450,47.74926,8.99400
338,1646817451,47.74927,8.99400
339,1646817452,47.74928,8.99400
340,1646817454,47.74929,8.99399
341,1646817472,47.74951,8.99393
342,1646817473,47.74952,8.99392
343,1646817474,47.74953,8.99389
344,1646817475,47.74953,8.99388
345,1646817476,47.74954,8.99387
346,1646817477,47.74955,8.99386
347,1646817478,47.74957,8.99385
348,1646817479,47.74958,8.99383
349,1646817480,47.74959,8.99381
350,1646817481,47.74961,8.99379
351,1646817499,47.74980,8.99356
352,1646817500,47.74985,8.99347
353,1646817501,47.74982,8.99351
354,1646817502,47.74981,8.99351
355,1646817503,47.74983,8.99349
356,1646817504,47.74983,8.99349
357,1646817505,47.74985,8.99348
358,1646817506,47.74986,8.99348
359,1646817507,47.74987,8.99346
360,1646817508,47.74988,8.99346
361,1646817527,47.75006,8.99319
362,1646817528,47.75003,8.99319
363,1646817529,47.75002,8.99318
364,1646817530,47.75003,8.99317
365,1646817531,47.75004,8.99315
366,1646817532,47.75007,8.99313
367,1646817533,47.75008,8.99311
368,1646817534,47.75009,8.99310
369,1646817535,47.75009,8.99308
370,1646817536,47.75010,8.99308
371,1646817555,47.75025,8.99267
372,1646817556,47.75020,8.99273
373,1646817557,47.75020,8.99272
374,1646817558,47.75021,8.99269
375,1646817559,47.75020,8.99270
376,1646817560,47.75021,8.99269
377,1646817561,47.75021,8.99267
378,1646817562,47.75022,8.99265
379,1646817563,47.75022,8.99264
380,1646817564,47.75023,8.99262
381,1646817584,47.75036,8.99217
382,1646817585,47.75042,8.99216
383,1646817586,47.75043,8.99215
384,1646817587,47.75039,8.99219
385,1646817588,47.75039,8.99217
386,1646817589,47.75039,8.99216
387,1646817590,47.75039,8.99214
388,1646817591,47.75038,8.99212
389,1646817592,47.75038,8.99210
390,1646817593,47.75038,8.99209
391,1646817612,47.75054,8.99177
392,1646817613,47.75051,8.99175
393,1646817614,47.75051,8.99172
394,1646817615,47.75049,8.99170
395,1646817616,47.75048,8.99167
396,1646817617,47.75049,8.99164
397,1646817618,47.75048,8.99162
398,1646817619,47.75049,8.99160
399,1646817621,47.75049,8.99157
400,1646817622,47.75049,8.99155
401,1646817641,47.75057,8.99108
402,1646817642,47.75056,8.99107
403,1646817643,47.75055,8.99107
404,1646817644,47.75055,8.99107
405,1646817645,47.75057,8.99105
406,1646817646,47.75057,8.99105
407,1646817647,47.75057,8.99105
408,1646817648,47.75058,8.99103
409,1646817649,47.75058,8.99101
410,1646817651,47.75058,8.99099
411,1646817670,47.75083,8.99088
412,1646817671,47.75080,8.99071
413,1646817672,47.75083,8.99067
414,1646817673,47.75082,8.99068
415,1646817674,47.75084,8.99067
416,1646817675,47.75084,8.99066
417,1646817676,47.75084,8.99067
418,1646817677,47.75086,8.99067
419,1646817678,47.75087,8.99065
420,1646817679,47.75091,8.99061
421,1646817699,47.75107,8.99033
422,1646817700,47.75107,8.99030
423,1646817701,47.75108,8.99028
424,1646817702,47.75107,8.99027
425,1646817703,47.75107,8.99026
426,1646817704,47.75107,8.99026
427,1646817705,47.75107,8.99025
428,1646817706,47.75108,8.99024
429,1646817707,47.75108,8.99023
430,1646817708,47.75108,8.99021
431,1646817728,47.75129,8.99009
432,1646817729,47.75130,8.99014
433,1646817730,47.75132,8.99015
434,1646817731,47.75135,8.99016
435,1646817732,47.75137,8.99016
436,1646817733,47.75138,8.99016
437,1646817734,47.75141,8.99016
438,1646817735,47.75143,8.99018
439,1646817736,47.75145,8.99020
440,1646817737,47.75146,8.99021
441,1646817757,47.75177,8.99034
442,1646817758,47.75178,8.99037
443,1646817759,47.75178,8.99037
444,1646817760,47.75179,8.99037
445,1646817761,47.75179,8.99037
446,1646817762,47.75180,8.99038
447,1646817763,47.75185,8.99037
448,1646817764,47.75187,8.99038
449,1646817765,47.75189,8.99040
450,1646817766,47.75190,8.99041
451,1646817787,47.75214,8.99018
452,1646817788,47.75216,8.99020
453,1646817789,47.75219,8.99020
454,1646817790,47.75220,8.99018
455,1646817791,47.75217,8.99021
456,1646817792,47.75215,8.99025
457,1646817793,47.75214,8.99028
458,1646817794,47.75213,8.99030
459,1646817795,47.75212,8.99032
460,1646817796,47.75209,8.99036
461,1646817816,47.75206,8.99044
462,1646817817,47.75214,8.99041
463,1646817818,47.75217,8.99046
464,1646817819,47.75220,8.99045
465,1646817820,47.75221,8.99043
466,1646817821,47.75219,8.99044
467,1646817822,47.75219,8.99044
468,1646817823,47.75222,8.99041
469,1646817825,47.75223,8.99041
470,1646817826,47.75223,8.99041
471,1646817845,47.75260,8.99043
472,1646817846,47.75263,8.99044
473,1646817848,47.75266,8.99045
474,1646817849,47.75268,8.99045
475,1646817850,47.75271,8.99046
476,1646817851,47.75273,8.99047
477,1646817852,47.75274,8.99046
478,1646817853,47.75274,8.99045
479,1646817854,47.75274,8.99046
480,1646817855,47.75274,8.99046
481,1646817874,47.75312,8.99047
482,1646817875,47.75306,8.99050
483,1646817876,47.75307,8.99053
484,1646817877,47.75308,8.99054
485,1646817878,47.75310,8.99054
486,1646817879,47.75312,8.99054
487,1646817880,47.75314,8.99053
488,1646817881,47.75315,8.99056
489,1646817882,47.75316,8.99056
490,1646817883,47.75318,8.99055
491,1646817903,47.75334,8.99068
492,1646817904,47.75335,8.99071
493,1646817905,47.75336,8.99070
494,1646817906,47.75339,8.99068
495,1646817907,47.75340,8.99068
496,1646817908,47.75344,8.99068
497,1646817909,47.75346,8.99067
498,1646817910,47.75349,8.99066
499,1646817911,47.75351,8.99067
500,1646817912,47.75352,8.99068
501,1646817933,47.75384,8.99068
502,1646817934,47.75385,8.99064
503,1646817935,47.75387,8.99066
504,1646817936,47.75390,8.99065
505,1646817937,47.75391,8.99066
506,1646817938,47.75394,8.99066
507,1646817939,47.75396,8.99066
