6773 $PQFLP,W,1,0*21
$GPRMC,235942.800,V,,,,,0.00,0.00,050180,,,N*42

2798 $GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43
$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A

3798 $GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B
$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42

4796 $GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A
$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43

---TICK-TAG---
***START MEMORY***
UVs: 253, TOs: 0/0, ErrorsOrGF: 1, TTFF: 74
Fixes: 2113, Avg. time to fix: 0 s, Avg. HDOP (x10): 10

count,timestamp,lat,lon
294,1645633217,47.74300,8.99897
295,1645633222,47.74299,8.99898
296,1645633227,47.74299,8.99898
297,1645633232,47.74299,8.99899
298,1645633237,47.74300,8.99899
299,1645633242,47.74300,8.99899
300,1645633247,47.74300,8.99899
301,1645633252,47.74300,8.99899
302,1645633257,47.74300,8.99899
303,1645633262,47.74300,8.99899
304,1645633267,47.74300,8.99899
305,1645633272,47.74300,8.99899
306,1645633277,47.74299,8.99899
307,1645633282,47.74299,8.99899
308,1645633287,47.74299,8.99898
309,1645633292,47.74299,8.99897
310,1645633297,47.74299,8.99897
311,1645633302,47.74299,8.99897
312,1645633307,47.74299,8.99897
313,1645633312,47.74299,8.99897
314,1645633317,47.74299,8.99897
315,1645633322,47.74298,8.99896
316,1645633327,47.74300,8.99898
317,1645633332,47.74300,8.99898
318,1645633337,47.74300,8.99898
319,1645633342,47.74300,8.99898
320,1645633347,47.74301,8.99897
321,1645633352,47.74301,8.99897
322,1645633357,47.74301,8.99897
323,1645633362,47.74301,8.99897
324,1645633367,47.74301,8.99897
325,1645633372,47.74302,8.99896
326,1645633377,47.74302,8.99896
327,1645633382,47.74302,8.99896
328,1645633387,47.74302,8.99896
329,1645633392,47.74302,8.99895
330,1645633397,47.74302,8.99897
331,1645633402,47.74302,8.99897
332,1645633407,47.74303,8.99897
333,1645633412,47.74302,8.99897
334,1645633417,47.74302,8.99897
335,1645633422,47.74302,8.99896
336,1645633427,47.74303,8.99896
337,1645633432,47.74303,8.99897
338,1645633437,47.74304,8.99896
339,1645633442,47.74305,8.99896
340,1645633447,47.74305,8.99896
341,1645633452,47.74305,8.99896
342,1645633457,47.74305,8.99895
343,1645633462,47.74305,8.99895
344,1645633467,47.74305,8.99895
345,1645633472,47.74305,8.99895
346,1645633477,47.74305,8.99895
347,1645633482,47.74305,8.99895
348,1645633487,47.74305,8.99895
349,1645633492,47.74305,8.99895
350,1645633497,47.74305,8.99895
351,1645633502,47.74305,8.99895
352,1645633507,47.74305,8.99895
353,1645633512,47.74305,8.99895
354,1645633517,47.74306,8.99895
355,1645633522,47.74306,8.99896
356,1645633527,47.74306,8.99896
357,1645633532,47.74306,8.99896
